contract_id;member_id;sharedwith_member_id;comment;quantity01;quantity02;quantity03;quantity04;quantity05;quantity06;quantity07;quantity08;quantity09;quantity10;quantity11;quantity12;quantity13;quantity14;quantity15;quantity16;quantity17;quantity18;quantity19;quantity20;quantity21;quantity22;quantity23;quantity24;quantity25;quantity26;quantity27;quantity28
113;203;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;119;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;49;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;372;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;55;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;35;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;342;307;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;324;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;353;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;379;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;344;136;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;307;342;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;366;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;204;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;16;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;282;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;248;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;19;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;140;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;323;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;297;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;131;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;252;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;239;365;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;341;327;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;273;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;261;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;360;328;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;237;;fin mai };0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;347;371;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;370;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;167;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;251;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;337;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;91;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;284;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;327;341;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;356;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;380;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;224;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;394;55;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;393;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;171;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;371;347;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;126;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;365;239;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;136;344;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;64;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;46;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;328;360;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;251;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;64;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;
120;42;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
